,record,bad,cumulative bad %,cumulative total %,pred_col
0.337,2,1,23.113964686998393,8.16268486916951,prob_Logistic
0.338,3,3,23.274478330658106,8.205346985210467,prob_Logistic
0.339,8,6,23.595505617977526,8.319112627986348,prob_Logistic
0.34,3,1,23.649010165864098,8.361774744027302,prob_Logistic
0.341,3,3,23.809523809523807,8.404436860068259,prob_Logistic
0.342,1,0,23.809523809523807,8.418657565415245,prob_Logistic
0.343,4,2,23.91653290529695,8.475540386803186,prob_Logistic
0.344,5,2,24.02354200107009,8.546643913538112,prob_Logistic
0.345,4,3,24.184055644729803,8.603526734926053,prob_Logistic
0.346,5,4,24.398073836276083,8.67463026166098,prob_Logistic
0.347,4,1,24.45157838416265,8.73151308304892,prob_Logistic
0.348,4,3,24.612092027822367,8.788395904436861,prob_Logistic
0.349,2,1,24.665596575708935,8.816837315130831,prob_Logistic
0.35,4,3,24.826110219368648,8.873720136518772,prob_Logistic
0.351,4,3,24.986623863028356,8.930602957906713,prob_Logistic
0.352,10,6,25.30765115034778,9.072810011376564,prob_Logistic
0.353,2,2,25.414660246120917,9.101251422070535,prob_Logistic
0.354,4,4,25.6286784376672,9.158134243458475,prob_Logistic
0.355,5,4,25.842696629213485,9.229237770193402,prob_Logistic
0.356,5,4,26.056714820759762,9.300341296928327,prob_Logistic
0.357,2,2,26.163723916532906,9.328782707622297,prob_Logistic
0.359,1,0,26.163723916532906,9.343003412969283,prob_Logistic
0.36,7,4,26.37774210807919,9.442548350398178,prob_Logistic
0.361,3,2,26.484751203852326,9.485210466439135,prob_Logistic
0.362,10,6,26.80577849117175,9.627417519908988,prob_Logistic
0.363,12,8,27.23381487426431,9.79806598407281,prob_Logistic
0.364,9,7,27.608346709470304,9.926052332195678,prob_Logistic
0.365,11,8,28.036383092562865,10.082480091012515,prob_Logistic
0.366,6,3,28.196896736222577,10.167804323094426,prob_Logistic
0.367,8,2,28.303905831995717,10.281569965870307,prob_Logistic
0.368,6,5,28.57142857142857,10.366894197952218,prob_Logistic
0.369,2,2,28.678437667201713,10.395335608646189,prob_Logistic
0.37,5,0,28.678437667201713,10.466439135381114,prob_Logistic
0.371,7,4,28.892455858747994,10.56598407281001,prob_Logistic
0.372,6,3,29.052969502407706,10.651308304891922,prob_Logistic
0.373,7,6,29.373996789727126,10.750853242320819,prob_Logistic
0.374,4,2,29.481005885500267,10.80773606370876,prob_Logistic
0.375,5,4,29.69502407704655,10.878839590443686,prob_Logistic
0.376,7,6,30.01605136436597,10.978384527872583,prob_Logistic
0.377,8,8,30.444087747458532,11.092150170648464,prob_Logistic
0.378,8,4,30.658105939004816,11.205915813424346,prob_Logistic
0.379,8,6,30.97913322632424,11.319681456200227,prob_Logistic
0.38,6,3,31.13964686998395,11.405005688282138,prob_Logistic
0.381,4,3,31.30016051364366,11.461888509670079,prob_Logistic
0.382,7,5,31.567683253076513,11.561433447098976,prob_Logistic
0.383,8,6,31.88871054039593,11.675199089874857,prob_Logistic
0.384,5,3,32.049224184055646,11.746302616609784,prob_Logistic
0.385,4,1,32.102728731942214,11.803185437997724,prob_Logistic
0.386,3,2,32.20973782771536,11.84584755403868,prob_Logistic
0.387,4,3,32.37025147137507,11.902730375426621,prob_Logistic
0.388,1,1,32.42375601926163,11.916951080773606,prob_Logistic
0.389,12,4,32.63777421080792,12.08759954493743,prob_Logistic
0.39,5,4,32.8517924023542,12.158703071672356,prob_Logistic
0.391,9,5,33.119315141787055,12.286689419795222,prob_Logistic
0.392,4,3,33.27982878544676,12.343572241183162,prob_Logistic
0.393,9,6,33.600856072766184,12.47155858930603,prob_Logistic
0.394,6,3,33.7613697164259,12.55688282138794,prob_Logistic
0.395,6,5,34.02889245585875,12.642207053469853,prob_Logistic
0.396,8,4,34.242910647405026,12.755972696245735,prob_Logistic
0.397,4,1,34.2964151952916,12.812855517633675,prob_Logistic
0.398,6,4,34.51043338683788,12.898179749715585,prob_Logistic
0.399,7,6,34.831460674157306,12.997724687144482,prob_Logistic
0.4,4,1,34.884965222043874,13.054607508532424,prob_Logistic
0.401,4,3,35.045478865703586,13.111490329920365,prob_Logistic
0.402,3,3,35.2059925093633,13.15415244596132,prob_Logistic
0.403,5,3,35.36650615302301,13.225255972696246,prob_Logistic
0.404,6,3,35.527019796682715,13.310580204778159,prob_Logistic
0.405,3,1,35.580524344569284,13.353242320819112,prob_Logistic
0.406,5,4,35.79454253611557,13.42434584755404,prob_Logistic
0.407,6,2,35.901551631888715,13.50967007963595,prob_Logistic
0.408,9,5,36.169074371321564,13.637656427758818,prob_Logistic
0.409,4,4,36.383092562867844,13.694539249146759,prob_Logistic
0.41,1,1,36.43659711075441,13.708759954493743,prob_Logistic
